assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_002266485.1	PRJNA270148	SAMN03263581	NPOT00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=KCOM 1299	na	latest	Contig	Major	Full	2017/08/23	ASM226648v1		GCF_002266485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/266/485/GCA_002266485.1_ASM226648v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_002266485.1/GCA_002266485.1_ASM226648v1_genomic.fna.gz
GCA_002749175.1	PRJNA412892	SAMN07731393	PCGV00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=310a	na	latest	Scaffold	Major	Full	2017/10/24	ASM274917v1		GCF_002749175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/175/GCA_002749175.1_ASM274917v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_002749175.1/GCA_002749175.1_ASM274917v1_genomic.fna.gz
GCA_900445165.1	PRJEB6403	SAMEA104062577	UFSG00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=NCTC9709	na	latest	Contig	Major	Full	2018/08/07	55433_A01		GCF_900445165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/445/165/GCA_900445165.1_55433_A01	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_900445165.1/GCA_900445165.1_55433_A01_genomic.fna.gz
GCA_006547285.1	PRJNA387021	SAMN07138300	NHNH00000000.1	many frameshifted proteins	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=SC1000	na	latest	Scaffold	Major	Full	2019/07/03	ASM654728v1		GCF_006547285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/547/285/GCA_006547285.1_ASM654728v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_006547285.1/GCA_006547285.1_ASM654728v1_genomic.fna.gz
GCA_008084215.1	PRJNA560478	SAMN12492038	VSEL00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_684	na	latest	Contig	Major	Full	2019/08/24	ASM808421v1		GCF_008084215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/215/GCA_008084215.1_ASM808421v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084215.1/GCA_008084215.1_ASM808421v1_genomic.fna.gz
GCA_008085015.1	PRJNA560478	SAMN12492054	VSEC00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_561	na	latest	Contig	Major	Full	2019/08/24	ASM808501v1		GCF_008085015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/015/GCA_008085015.1_ASM808501v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085015.1/GCA_008085015.1_ASM808501v1_genomic.fna.gz
GCA_008085035.1	PRJNA560478	SAMN12492037	VSEK00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_648	na	latest	Contig	Major	Full	2019/08/24	ASM808503v1		GCF_008085035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/035/GCA_008085035.1_ASM808503v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085035.1/GCA_008085035.1_ASM808503v1_genomic.fna.gz
GCA_008085115.1	PRJNA560478	SAMN12492034	VSEA00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_439	na	latest	Contig	Major	Full	2019/08/24	ASM808511v1		GCF_008085115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/115/GCA_008085115.1_ASM808511v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085115.1/GCA_008085115.1_ASM808511v1_genomic.fna.gz
GCA_008084095.1	PRJNA560478	SAMN12492029	VSEV00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_773	na	latest	Contig	Major	Full	2019/08/24	ASM808409v1		GCF_008084095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/095/GCA_008084095.1_ASM808409v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084095.1/GCA_008084095.1_ASM808409v1_genomic.fna.gz
GCA_008084195.1	PRJNA560478	SAMN12492040	VSES00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_738	na	latest	Contig	Major	Full	2019/08/24	ASM808419v1		GCF_008084195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/195/GCA_008084195.1_ASM808419v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084195.1/GCA_008084195.1_ASM808419v1_genomic.fna.gz
GCA_008084225.1	PRJNA560478	SAMN12492027	VSEQ00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_708	na	latest	Contig	Major	Full	2019/08/24	ASM808422v1		GCF_008084225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/225/GCA_008084225.1_ASM808422v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084225.1/GCA_008084225.1_ASM808422v1_genomic.fna.gz
GCA_008084955.1	PRJNA560478	SAMN12492030	VSEW00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_796	na	latest	Contig	Major	Full	2019/08/24	ASM808495v1		GCF_008084955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/955/GCA_008084955.1_ASM808495v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084955.1/GCA_008084955.1_ASM808495v1_genomic.fna.gz
GCA_008085065.1	PRJNA560478	SAMN12492043	VSEB00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_559	na	latest	Contig	Major	Full	2019/08/24	ASM808506v1		GCF_008085065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/065/GCA_008085065.1_ASM808506v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085065.1/GCA_008085065.1_ASM808506v1_genomic.fna.gz
GCA_008085215.1	PRJNA560478	SAMN12492032	VSDX00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_436	na	latest	Contig	Major	Full	2019/08/24	ASM808521v1		GCF_008085215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/215/GCA_008085215.1_ASM808521v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085215.1/GCA_008085215.1_ASM808521v1_genomic.fna.gz
GCA_008085265.1	PRJNA560478	SAMN12492026	VSEP00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_694	na	latest	Contig	Major	Full	2019/08/24	ASM808526v1		GCF_008085265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/265/GCA_008085265.1_ASM808526v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085265.1/GCA_008085265.1_ASM808526v1_genomic.fna.gz
GCA_008085305.1	PRJNA560478	SAMN12492020	VSDU00000000.1	na	na	assembly from type material	714	714	Aggregatibacter actinomycetemcomitans	strain=NCTC_9710	na	latest	Contig	Major	Full	2019/08/24	ASM808530v1		GCF_008085305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/305/GCA_008085305.1_ASM808530v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085305.1/GCA_008085305.1_ASM808530v1_genomic.fna.gz
GCA_008085355.1	PRJNA560478	SAMN12492046	VSEO00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_688	na	latest	Contig	Major	Full	2019/08/24	ASM808535v1		GCF_008085355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/355/GCA_008085355.1_ASM808535v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085355.1/GCA_008085355.1_ASM808535v1_genomic.fna.gz
GCA_008085415.1	PRJNA560478	SAMN12492022	VSEE00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_565	na	latest	Contig	Major	Full	2019/08/24	ASM808541v1		GCF_008085415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/415/GCA_008085415.1_ASM808541v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085415.1/GCA_008085415.1_ASM808541v1_genomic.fna.gz
GCA_008084895.1	PRJNA560478	SAMN12492035	VSEH00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_627	na	latest	Contig	Major	Full	2019/08/24	ASM808489v1		GCF_008084895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/895/GCA_008084895.1_ASM808489v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084895.1/GCA_008084895.1_ASM808489v1_genomic.fna.gz
GCA_008084915.1	PRJNA560478	SAMN12492021	VSDV00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_434	na	latest	Contig	Major	Full	2019/08/24	ASM808491v1		GCF_008084915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/915/GCA_008084915.1_ASM808491v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084915.1/GCA_008084915.1_ASM808491v1_genomic.fna.gz
GCA_008084995.1	PRJNA560478	SAMN12492036	VSEJ00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_647	na	latest	Contig	Major	Full	2019/08/24	ASM808499v1		GCF_008084995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/995/GCA_008084995.1_ASM808499v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084995.1/GCA_008084995.1_ASM808499v1_genomic.fna.gz
GCA_008085085.1	PRJNA560478	SAMN12492031	VSDW00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_435	na	latest	Contig	Major	Full	2019/08/24	ASM808508v1		GCF_008085085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/085/GCA_008085085.1_ASM808508v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085085.1/GCA_008085085.1_ASM808508v1_genomic.fna.gz
GCA_008085135.1	PRJNA560478	SAMN12492033	VSDZ00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_438	na	latest	Contig	Major	Full	2019/08/24	ASM808513v1		GCF_008085135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/135/GCA_008085135.1_ASM808513v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085135.1/GCA_008085135.1_ASM808513v1_genomic.fna.gz
GCA_008085175.1	PRJNA560478	SAMN12492053	VSDT00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=K_51	na	latest	Contig	Major	Full	2019/08/24	ASM808517v1		GCF_008085175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/175/GCA_008085175.1_ASM808517v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085175.1/GCA_008085175.1_ASM808517v1_genomic.fna.gz
GCA_008085255.1	PRJNA560478	SAMN12492052	VSDR00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=HK_1710	na	latest	Contig	Major	Full	2019/08/24	ASM808525v1		GCF_008085255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/255/GCA_008085255.1_ASM808525v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085255.1/GCA_008085255.1_ASM808525v1_genomic.fna.gz
GCA_008085295.1	PRJNA560478	SAMN12492025	VSEM00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_686	na	latest	Contig	Major	Full	2019/08/24	ASM808529v1		GCF_008085295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/295/GCA_008085295.1_ASM808529v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085295.1/GCA_008085295.1_ASM808529v1_genomic.fna.gz
GCA_008085365.1	PRJNA560478	SAMN12492024	VSEI00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_628	na	latest	Contig	Major	Full	2019/08/24	ASM808536v1		GCF_008085365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/365/GCA_008085365.1_ASM808536v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085365.1/GCA_008085365.1_ASM808536v1_genomic.fna.gz
GCA_008085405.1	PRJNA560478	SAMN12492023	VSEF00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_566	na	latest	Contig	Major	Full	2019/08/24	ASM808540v1		GCF_008085405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/405/GCA_008085405.1_ASM808540v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085405.1/GCA_008085405.1_ASM808540v1_genomic.fna.gz
GCA_008085185.1	PRJNA560478	SAMN12492051	VSDS00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=HK_974	na	latest	Contig	Major	Full	2019/08/24	ASM808518v1		GCF_008085185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/185/GCA_008085185.1_ASM808518v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085185.1/GCA_008085185.1_ASM808518v1_genomic.fna.gz
GCA_008085225.1	PRJNA560478	SAMN12492041	VSEU00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_756	na	latest	Contig	Major	Full	2019/08/24	ASM808522v1		GCF_008085225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/225/GCA_008085225.1_ASM808522v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085225.1/GCA_008085225.1_ASM808522v1_genomic.fna.gz
GCA_008085315.1	PRJNA560478	SAMN12492028	VSER00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_728	na	latest	Contig	Major	Full	2019/08/24	ASM808531v1		GCF_008085315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/315/GCA_008085315.1_ASM808531v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085315.1/GCA_008085315.1_ASM808531v1_genomic.fna.gz
GCA_008085395.1	PRJNA560478	SAMN12492045	VSEG00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_567	na	latest	Contig	Major	Full	2019/08/24	ASM808539v1		GCF_008085395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/395/GCA_008085395.1_ASM808539v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085395.1/GCA_008085395.1_ASM808539v1_genomic.fna.gz
GCA_008084115.1	PRJNA560478	SAMN12492039	VSEN00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_687	na	latest	Contig	Major	Full	2019/08/24	ASM808411v1		GCF_008084115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/115/GCA_008084115.1_ASM808411v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084115.1/GCA_008084115.1_ASM808411v1_genomic.fna.gz
GCA_008084205.1	PRJNA560478	SAMN12492047	VSET00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_740	na	latest	Contig	Major	Full	2019/08/24	ASM808420v1		GCF_008084205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/084/205/GCA_008084205.1_ASM808420v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008084205.1/GCA_008084205.1_ASM808420v1_genomic.fna.gz
GCA_008085025.1	PRJNA560478	SAMN12492044	VSED00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_563	na	latest	Contig	Major	Full	2019/08/24	ASM808502v1		GCF_008085025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/025/GCA_008085025.1_ASM808502v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085025.1/GCA_008085025.1_ASM808502v1_genomic.fna.gz
GCA_008085125.1	PRJNA560478	SAMN12492042	VSDY00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_437	na	latest	Contig	Major	Full	2019/08/24	ASM808512v1		GCF_008085125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/085/125/GCA_008085125.1_ASM808512v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_008085125.1/GCA_008085125.1_ASM808512v1_genomic.fna.gz
GCA_001594245.1	PRJNA288376	SAMN03799080	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=VT1169	na	latest	Complete Genome	Major	Full	2016/03/21	ASM159424v1		GCF_001594245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/245/GCA_001594245.1_ASM159424v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_001594245.1/GCA_001594245.1_ASM159424v1_genomic.fna.gz
GCA_002701245.1	PRJNA412894	SAMN07731442	PCGW00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=310b	na	latest	Contig	Major	Full	2017/10/24	ASM270124v1		GCF_002701245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/701/245/GCA_002701245.1_ASM270124v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_002701245.1/GCA_002701245.1_ASM270124v1_genomic.fna.gz
GCA_003130165.1	PRJNA397823	SAMN07488441	NRDD00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=PN_800	na	latest	Contig	Major	Full	2018/05/16	ASM313016v1		GCF_003130165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/165/GCA_003130165.1_ASM313016v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_003130165.1/GCA_003130165.1_ASM313016v1_genomic.fna.gz
GCA_003130245.1	PRJNA397823	SAMN07488438	NRDG00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=HK_929	na	latest	Scaffold	Major	Full	2018/05/16	ASM313024v1		GCF_003130245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/245/GCA_003130245.1_ASM313024v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_003130245.1/GCA_003130245.1_ASM313024v1_genomic.fna.gz
GCA_003130205.1	PRJNA397823	SAMN07488439	NRDF00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=HK_961	na	latest	Scaffold	Major	Full	2018/05/16	ASM313020v1		GCF_003130205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/205/GCA_003130205.1_ASM313020v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_003130205.1/GCA_003130205.1_ASM313020v1_genomic.fna.gz
GCA_003130185.1	PRJNA397823	SAMN07488440	NRDE00000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=HK_1002	na	latest	Scaffold	Major	Full	2018/05/16	ASM313018v1		GCF_003130185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/185/GCA_003130185.1_ASM313018v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_003130185.1/GCA_003130185.1_ASM313018v1_genomic.fna.gz
GCA_016026035.1	PRJNA231221	SAMN13450478	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=FDAARGOS_948	na	latest	Complete Genome	Major	Full	2020/12/14	ASM1602603v1		GCF_016026035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/035/GCA_016026035.1_ASM1602603v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_016026035.1/GCA_016026035.1_ASM1602603v1_genomic.fna.gz
GCA_017160745.1	PRJNA641505	SAMN15355014	JACAWK000000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=SL7465	na	latest	Scaffold	Major	Full	2021/03/03	ASM1716074v1		GCF_017160745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/160/745/GCA_017160745.1_ASM1716074v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_017160745.1/GCA_017160745.1_ASM1716074v1_genomic.fna.gz
GCA_017160735.1	PRJNA641505	SAMN15355021	JACAWD000000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=SL7472	na	latest	Scaffold	Major	Full	2021/03/03	ASM1716073v1		GCF_017160735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/160/735/GCA_017160735.1_ASM1716073v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_017160735.1/GCA_017160735.1_ASM1716073v1_genomic.fna.gz
GCA_017160835.1	PRJNA641505	SAMN15355025	JACAVZ000000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=Gm1104	na	latest	Scaffold	Major	Full	2021/03/03	ASM1716083v1		GCF_017160835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/160/835/GCA_017160835.1_ASM1716083v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_017160835.1/GCA_017160835.1_ASM1716083v1_genomic.fna.gz
